"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
111 1858286.68554614 59255.9604082714 802.172795273423 62361.0391688445 393844.142081467 516263.314453855 147.558960232362 11471.2568060954 2020-04-20
112 1847992.61042516 58049.4413272702 789.096926741758 61344.5191375196 406374.332183314 526557.389574845 144.5544911483 11237.6889063557 2020-04-21
113 1837938.39255048 56839.9622660814 775.664365123801 60300.2697208803 418695.711097437 536611.607449521 141.542651133183 11003.5479892749 2020-04-22
114 1828122.36279969 55629.5693808751 761.93550602205 59232.9860841374 430803.146229279 546427.637200312 138.528535517081 10769.2301666153 2020-04-23
115 1818542.62413814 54420.151335399 747.964227315134 58146.8567033386 442692.40359581 556007.375861862 135.516847443053 10535.1010614587 2020-04-24
116 1809197.06101033 53213.458087555 733.798717236921 57045.6277404191 454360.054444462 565352.938989672 132.511944649402 10301.4994450673 2020-04-25
117 1800083.35153173 52011.1163568903 719.482272158692 55932.6650629587 465803.38477626 574466.648468267 129.517877986766 10068.7402312074 2020-04-26
118 1791198.97856498 50814.6401912074 705.053877157166 54810.9993776636 477020.327988991 583351.021435018 126.538417731046 9837.11652172139 2020-04-27
119 1782541.24229098 49625.4396049166 690.548711124129 53683.3654976946 488009.403895285 592008.75770902 123.577075094596 9606.90127881063 2020-04-28
120 1774107.27510143 48444.8254430934 675.998657380109 52552.2420378809 498769.658760218 600442.724898571 120.637114338684 9378.34826666002 2020-04-29
121 1765894.05452676 47274.015535054 661.432672723822 51419.8801046997 509300.617160768 608655.945473244 117.721568097095 9151.69324269781 2020-04-30
122 1757898.41662491 46114.1394602066 646.877104399936 50288.327937416 519602.238873073 616651.583375095 114.833249244044 8927.15488020822 2020-05-01
123 1750117.06977141 44966.2414020006 632.355978350745 49159.4533168256 529674.879531417 624432.930228594 111.97475800106 8704.93532082259 2020-05-02
124 1742546.60736932 43831.2834447551 617.891218630717 48034.9606225864 539519.257344706 632003.392630678 109.148490146743 8485.22081274642 2020-05-03
125 1735183.52121995 42710.148615465 603.502856679332 46916.4071021313 549136.420205771 639366.478780046 106.356644591452 8268.18229961738 2020-05-04
126 1728024.213875 41603.643590224 589.209198357876 45805.215856141 558527.717480281 646525.786125003 103.601230116832 8053.97594443689 2020-05-05
127 1721065.01050185 40512.501555468 575.026964490621 44702.6867642437 567694.774213944 653484.989498146 100.884072500871 7842.74368347325 2020-05-06
128 1714302.17043562 39437.3847672911 560.971416451265 43610.0062481288 576639.467132511 660247.829564381 98.2068208910974 7634.613721715 2020-05-07
129 1707731.89816311 38378.8872030847 547.056464023108 42528.2556566186 585363.902513168 666818.101836894 95.5709544076816 7429.70104619717 2020-05-08
130 1701350.35374402 37337.5372787976 533.294759048531 41458.4185459957 593870.395672134 673199.646255975 92.977788909947 7228.10795203076 2020-05-09
131 1695153.66270584 36313.8005397291 519.697778773125 40401.3871591918 602161.451816462 679396.337294156 90.4284836969725 7029.92456330874 2020-05-10
132 1689137.92538149 35308.0823820375 506.275900085091 39357.9681971726 610239.748139213 685412.074618507 87.9240482846815 6835.22935995796 2020-05-11
